Entity,Code,Year,Oil production per capita (kWh)
Africa,,1900,0
Africa,,1910,0
Africa,,1920,10.511
Africa,,1930,18.412
Africa,,1940,54.07
Africa,,1950,135.245
Africa,,1951,120.891
Africa,,1952,122.58
Africa,,1953,121.973
Africa,,1954,101.623
Africa,,1955,91.016
Africa,,1956,84.072
Africa,,1957,117.8
Africa,,1958,193.499
Africa,,1959,244.525
Africa,,1960,566.354
Africa,,1961,947.628
Africa,,1962,1519.451
Africa,,1963,2183.983
Africa,,1964,3066.856
Africa,,1965,3851.655
Africa,,1966,4780.63
Africa,,1967,5128.256
Africa,,1968,6407.925
Africa,,1969,7943.535
Africa,,1970,9338.641
Africa,,1971,8514.751
Africa,,1972,8329.863
Africa,,1973,8501.563
Africa,,1974,7631.831
Africa,,1975,6816.173
Africa,,1976,7911.945
Africa,,1977,8070.418
Africa,,1978,7661.864
Africa,,1979,8191.247
Africa,,1980,7319.312
Africa,,1981,5650.236
Africa,,1982,5280.861
Africa,,1983,5203.604
Africa,,1984,5401.934
Africa,,1985,5459.932
Africa,,1986,5292.774
Africa,,1987,5156.181
Africa,,1988,5227.27
Africa,,1989,5612.658
Africa,,1990,5854.48
Africa,,1991,5913.969
Africa,,1992,5870.405
Africa,,1993,5646.392
Africa,,1994,5493.42
Africa,,1995,5443.702
Africa,,1996,5481.688
Africa,,1997,5472.388
Africa,,1998,5357.87
Africa,,1999,5080.972
Africa,,2000,5320.111
Africa,,2001,5140.531
Africa,,2002,5051.425
Africa,,2003,5361.866
Africa,,2004,5822.109
Africa,,2005,5889.781
Africa,,2006,5879.257
Africa,,2007,5853.552
Africa,,2008,5765.779
Africa,,2009,5407.655
Africa,,2010,5441.233
Africa,,2011,4420.974
Africa,,2012,4691.922
Africa,,2013,4233.979
Africa,,2014,3935.601
Africa,,2015,3796.931
Africa,,2016,3489.063
Africa,,2017,3591.158
Africa,,2018,3590.472
Africa,,2019,3542.213
Albania,ALB,1900,0
Albania,ALB,1901,0
Albania,ALB,1902,0
Albania,ALB,1903,0
Albania,ALB,1904,0
Albania,ALB,1905,0
Albania,ALB,1906,0
Albania,ALB,1907,0
Albania,ALB,1908,0
Albania,ALB,1909,0
Albania,ALB,1910,0
Albania,ALB,1911,0
Albania,ALB,1912,0
Albania,ALB,1913,0
Albania,ALB,1914,0
Albania,ALB,1915,0
Albania,ALB,1916,0
Albania,ALB,1917,0
Albania,ALB,1918,0
Albania,ALB,1919,0
Albania,ALB,1920,0
Albania,ALB,1921,0
Albania,ALB,1922,0
Albania,ALB,1923,0
Albania,ALB,1924,0
Albania,ALB,1925,0
Albania,ALB,1926,0
Albania,ALB,1927,0
Albania,ALB,1928,0
Albania,ALB,1929,0
Albania,ALB,1930,0
Albania,ALB,1931,0
Albania,ALB,1932,0
Albania,ALB,1933,22.534
Albania,ALB,1934,22.415
Albania,ALB,1935,66.889
Albania,ALB,1936,453.029
Albania,ALB,1937,1028.212
Albania,ALB,1938,1224.741
Albania,ALB,1939,1487.339
Albania,ALB,1940,2340.057
Albania,ALB,1941,2061.812
Albania,ALB,1942,2447.137
Albania,ALB,1943,1516.93
Albania,ALB,1944,499.173
Albania,ALB,1945,395.244
Albania,ALB,1946,1469.238
Albania,ALB,1947,2893.411
Albania,ALB,1948,2141.398
Albania,ALB,1949,3087.937
Albania,ALB,1950,1215.488
Albania,ALB,1951,1102.456
Albania,ALB,1952,1316.772
Albania,ALB,1953,1294.141
Albania,ALB,1954,1471.621
Albania,ALB,1955,1703.551
Albania,ALB,1956,2120.344
Albania,ALB,1957,3799.136
Albania,ALB,1958,3037.52
Albania,ALB,1959,3505.837
Albania,ALB,1960,5175.212
Albania,ALB,1961,5318.349
Albania,ALB,1962,5252.91
Albania,ALB,1963,4876.682
Albania,ALB,1964,4818.507
Albania,ALB,1965,5042.124
Albania,ALB,1966,5289.624
Albania,ALB,1967,5724.827
Albania,ALB,1968,6436.521
Albania,ALB,1969,7238.296
Albania,ALB,1970,8039.9
Albania,ALB,1971,8751.556
Albania,ALB,1972,11093.398
Albania,ALB,1973,10626.379
Albania,ALB,1974,8726.205
Albania,ALB,1975,8775.546
Albania,ALB,1976,8964.307
Albania,ALB,1977,9002.985
Albania,ALB,1978,9492.04
Albania,ALB,1979,9293.386
Albania,ALB,1980,11100.856
Albania,ALB,1981,10852.108
Albania,ALB,1982,15485.029
Albania,ALB,1983,17795.706
Albania,ALB,1984,12820.074
Albania,ALB,1985,12500.934
Albania,ALB,1986,12197.035
Albania,ALB,1987,11664.872
Albania,ALB,1988,9304.466
Albania,ALB,1989,9738.297
Albania,ALB,1990,6162.968
Albania,ALB,1991,3910.353
Albania,ALB,1992,2293.869
Albania,ALB,1993,2324.117
Albania,ALB,1994,2359.566
Albania,ALB,1995,2168.488
Albania,ALB,1996,2075.04
Albania,ALB,1997,1995.918
Albania,ALB,1998,1367.026
Albania,ALB,1999,1205.135
Albania,ALB,2000,1223.568
Albania,ALB,2001,1283.674
Albania,ALB,2002,1373.639
Albania,ALB,2003,1454.238
Albania,ALB,2004,1459.095
Albania,ALB,2005,1530.727
Albania,ALB,2006,1706.352
Albania,ALB,2007,1428.236
Albania,ALB,2008,1352.447
Albania,ALB,2009,1209.952
Albania,ALB,2010,2483.045
Albania,ALB,2011,3575.72
Albania,ALB,2012,3910.826
Albania,ALB,2013,3953.588
Albania,ALB,2014,4780.019
Albania,ALB,2015,4707.681
Albania,ALB,2016,5335.516
Algeria,DZA,1900,0
Algeria,DZA,1901,0
Algeria,DZA,1902,0
Algeria,DZA,1903,0
Algeria,DZA,1904,0
Algeria,DZA,1905,0
Algeria,DZA,1906,0
Algeria,DZA,1907,0
Algeria,DZA,1908,0
Algeria,DZA,1909,0
Algeria,DZA,1910,0
Algeria,DZA,1911,0
Algeria,DZA,1912,0
Algeria,DZA,1913,0
Algeria,DZA,1914,0
Algeria,DZA,1915,0
Algeria,DZA,1916,2.017
Algeria,DZA,1917,1.992
Algeria,DZA,1918,1.967
Algeria,DZA,1919,1.942
Algeria,DZA,1920,1.918
Algeria,DZA,1921,0
Algeria,DZA,1922,1.87
Algeria,DZA,1923,1.847
Algeria,DZA,1924,3.648
Algeria,DZA,1925,3.602
Algeria,DZA,1926,1.779
Algeria,DZA,1927,1.756
Algeria,DZA,1928,1.734
Algeria,DZA,1929,5.138
Algeria,DZA,1930,3.383
Algeria,DZA,1931,1.67
Algeria,DZA,1932,1.649
Algeria,DZA,1933,1.629
Algeria,DZA,1934,0
Algeria,DZA,1935,0
Algeria,DZA,1936,0
Algeria,DZA,1937,0
Algeria,DZA,1938,0
Algeria,DZA,1939,0
Algeria,DZA,1940,0
Algeria,DZA,1941,0
Algeria,DZA,1942,0
Algeria,DZA,1943,0
Algeria,DZA,1944,1.418
Algeria,DZA,1945,0
Algeria,DZA,1946,0
Algeria,DZA,1947,0
Algeria,DZA,1948,0
Algeria,DZA,1949,0
Algeria,DZA,1950,3.933
Algeria,DZA,1951,9.023
Algeria,DZA,1952,58.239
Algeria,DZA,1953,105.569
Algeria,DZA,1954,88.807
Algeria,DZA,1955,65.444
Algeria,DZA,1956,39.518
Algeria,DZA,1957,23.818
Algeria,DZA,1958,474.536
Algeria,DZA,1959,1328.774
Algeria,DZA,1960,9078.517
Algeria,DZA,1961,16063.078
Algeria,DZA,1962,20524.664
Algeria,DZA,1963,23075.508
Algeria,DZA,1964,25205.966
Algeria,DZA,1965,24181.874
